top1_success,top10_hits,best_percentile,normalized_regret,unique_loci,invalid_action_rate,cost_usd,DMS_id,seed,method
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,ei
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,thompson
1,26,99.32771517848688,0.2783282399177551,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,prior_first_al
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,folde_lite
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,cider_fixed
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,cider_qwen35_4b
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,cider_qwen3_8b
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,cider_gpt_oss_20b
0,21,98.40450714894423,0.3248064219951629,26,0.0,0.0,GRB2_HUMAN_Faure_2021,23,random
1,26,99.32771517848688,0.2783282399177551,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,plm_greedy
0,17,98.31928794621722,0.3274843394756317,16,0.0,0.0,GRB2_HUMAN_Faure_2021,23,plm_diverse
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,ucb
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,ei
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,thompson
1,26,99.32771517848688,0.2783282399177551,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,prior_first_al
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,folde_lite
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,cider_fixed
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,cider_qwen35_4b
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,cider_qwen3_8b
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,23,cider_gpt_oss_20b
0,13,98.77221222737744,0.3092217147350311,27,0.0,0.0,GRB2_HUMAN_Faure_2021,37,random
1,26,99.32771517848688,0.2783282399177551,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,plm_greedy
0,17,98.31928794621722,0.3274843394756317,16,0.0,0.0,GRB2_HUMAN_Faure_2021,37,plm_diverse
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,ucb
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,ei
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,thompson
1,26,99.32771517848688,0.2783282399177551,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,prior_first_al
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,folde_lite
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,cider_fixed
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,cider_qwen35_4b
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,cider_qwen3_8b
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,37,cider_gpt_oss_20b
0,16,98.77015895115444,0.3222078084945678,44,0.0,0.0,GFP_AEQVI_Sarkisyan_2016,11,random
0,14,97.55772131337744,0.3752481043338775,12,0.0,0.0,GFP_AEQVI_Sarkisyan_2016,11,plm_greedy
0,15,97.55772131337744,0.3752481043338775,17,0.0,0.0,GFP_AEQVI_Sarkisyan_2016,11,plm_diverse
1,13,99.55911358626292,0.2501433491706848,21,0.0,0.0,GFP_AEQVI_Sarkisyan_2016,11,ucb
1,13,99.55911358626292,0.2501433491706848,21,0.0,0.0,GFP_AEQVI_Sarkisyan_2016,11,ei
